Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number,Relocated From X Coordinate,Relocated From Y Coordinate,Relocated From Latitude,Relocated From Longitude,Relocated From Location
06/15/2020 08:58:00 AM,Honda,Gray,R882482,Illinois,4587,N,ELSTON,,4587,N,ELSTON,,Other,20-00043122,,,,,
06/16/2020 03:42:00 PM,Ford,Black,AG70362,Illinois,8048,S,STONY ISLAND,AVE,8040,S,ANTHONY.,,Accident,20-00043548,1188315.7412203,1851904.63442668,41.748701509,-87.585512318,"(41.748701509450754, -87.5855123180669)"
06/16/2020 04:20:00 PM,Mazda,Gray,Z96 4713,Illinois,1063,W,POLK,,1066,W,ARTHINGTON,,Water Management,20-00043559,1169401.41647021,1896620.28582093,41.871836199,-87.653524837,"(41.87183619931372, -87.65352483704837)"
06/19/2020 11:40:00 AM,Nissan,Gold,747KAB,Kentucky,224,W,WISCONSIN,ST,1866,N,LINCOLN PARK WEST,,Other,20-00044217,1174148.93860328,1912958.34300797,41.916564234,-87.63560711,"(41.91656423430547, -87.63560710963512)"
06/16/2020 05:08:00 PM,Nissan,Burgundy,BZ38695,Illinois,3000,,NORTH SB OUTER LAKE SHORE,DRIVE,2801,N,CANNON DRIVE,,Broken Down,20-00043562,,,,,
06/29/2020 04:41:00 PM,Infiniti,Black,CB 3150,Illinois,318,E,CHICAGO RIVER,,323,E,LOWERWACKER,,Broken Down,20-00046126,1178479.1047937,1902780.33271954,41.888537577,-87.620009335,"(41.88853757684799, -87.62000933534979)"
06/16/2020 06:17:00 PM,Chevrolet,Gray,CA 87180,Illinois,1320,E,47TH,ST,1320,E,47TH STREET,,Broken Down,20-00043568,1185657.42022943,1874098.44979667,41.809666231,-87.594554547,"(41.80966623102315, -87.59455454654085)"
06/16/2020 06:39:00 PM,Chevrolet,Black,ZZ53029,Illinois,1800,,SOUTH LAKE SHORE,DRIVE,1800,S,MOE  DRIVE,,Broken Down,20-00043569,1178677.40793097,1891601.44982588,41.857857574,-87.619622455,"(41.85785757369827, -87.61962245506724)"
06/16/2020 06:14:00 PM,Dodge,Tan,271V029,Illinois,9131,S,STATE,ST,7900,S,STATE,,Stalled,20-00043565,1177895.48448503,1844443.70640246,41.728469984,-87.623920946,"(41.728469984467054, -87.6239209460479)"
06/16/2020 07:27:00 PM,Hyundai,Gray,V10 8232,Illinois,1198,E,OAKWOOD,BLVD,3914,S,LAKE PARK AVENUE,,Stalled,20-00043575,,,,,
06/16/2020 08:27:00 PM,Dodge,White,BH6822,Illinois,2500,W,JACKSON,,3152,W,HARRISON,,Accident,20-00043579,1159825.7499122,1897285.7323193,41.873864971,-87.688662638,"(41.87386497089725, -87.6886626379133)"
06/16/2020 09:16:00 PM,Dodge,Gray,H162799,Illinois,7013,S,LOOMIS,BLVD,7011,S,LOOMIS,,Accident,20-00043585,1168209.18208019,1858247.06848475,41.766561917,-87.659007624,"(41.766561916863324, -87.65900762369562)"
06/16/2020 08:56:00 PM,Dodge,Blue,E144069,Illinois,7007,S,LOOMIS,BLVD,7003,S,LOOMIS,,Accident,20-00043584,1168208.18208019,1858287.26848475,41.766672252,-87.659010134,"(41.766672252394194, -87.65901013389923)"
06/16/2020 09:19:00 PM,Chevrolet,Silver,45 572 P B,Illinois,300,S,LAKE SHORE,DRIVE,331,E,JACKSON DRIVE,,Broken Down,20-00043586,,,,,
06/16/2020 09:50:00 PM,Chevrolet,Blue,BU 85256,Illinois,131,N,MICHIGAN,,323,E,LOWER WACKER,,Accident,20-00043587,1177288.33650813,1901122.6114083,41.884015782,-87.624432507,"(41.88401578243297, -87.62443250656366)"
